epoch,episode_train,validate_values,evaluate_reward,train_time,test_time,steps_per_second
1,1760,0.5357,43.4,425,29,587.3503
2,1740,0.7499,357.7,565,23,441.8765
3,1748,0.9592,346.5,631,18,395.8878
4,1577,1.269,683.5,678,25,368.3937
5,1403,1.5144,693.6,696,24,359.0793
6,1341,1.754,796.6667,695,29,359.4381
7,1211,1.9471,902.3,695,29,359.2124
8,1038,2.2319,1093.1667,696,39,359.1642
9,849,2.4105,1141.7333,696,38,358.9806
10,733,2.5533,1814.3,697,56,358.3852
11,856,2.8467,1166.6333,694,34,359.9826
12,810,2.9904,2137.6667,697,64,358.578
13,775,3.1786,2208.9667,696,73,359.1628
14,683,3.369,2754.9667,694,81,360.0022
15,702,3.4454,2092.6667,695,65,359.4527
16,760,3.5343,2325.4333,694,68,360.2053
17,803,3.7499,1409.6,696,38,359.0999
18,825,3.9153,2613.7,695,75,359.3881
19,837,3.9658,1974.9,695,59,359.6982
20,820,4.1533,1778.9333,695,52,359.6586
21,761,4.2252,1479.3,694,40,360.1184
22,669,4.2648,1962,695,58,359.604
23,792,4.4503,1727.1667,694,48,360.0798
24,716,4.4605,1363.5,694,38,359.9521
25,761,4.5754,1685.4,695,53,359.6464
26,711,4.708,1228.8,694,36,360.0831
27,672,4.7159,1578.9,694,44,360.0486
28,696,4.9065,1975.5667,694,55,359.7326
29,741,4.9121,1591.7333,693,45,360.2813
30,629,4.9665,2146.7667,694,60,359.8226
31,621,5.0705,2314.5333,694,68,360.2275
32,745,5.0926,1890.2,694,57,359.9188
33,652,5.2599,2088.8667,694,61,359.7329
34,703,5.2851,2399.6667,695,73,359.7059
35,745,5.3422,1536.0333,696,43,359.1454
36,676,5.3197,1485.4667,694,42,359.8146
37,747,5.4095,1719.6,694,48,360.0248
38,708,5.4564,2622.8667,695,76,359.4385
39,526,5.4655,2377.2,694,67,359.8299
40,591,5.4375,2206.4667,694,64,359.8209
41,637,5.4954,2220.3,694,60,359.8655
42,633,5.5223,3289.5,694,92,359.9711
43,517,5.5089,2091.8333,695,61,359.3267
44,638,5.51,1863.2,694,50,359.8094
45,630,5.4761,2650.1,694,75,359.7542
46,533,5.4467,2832.1333,694,83,360.0533
47,581,5.5812,3308.6333,695,90,359.6794
48,570,5.5708,2039.5,695,68,359.4636
49,549,5.6048,3513.7667,695,92,359.6856
50,597,5.6759,1973,695,56,359.5054
51,558,5.7286,2925,694,85,360.1624
52,571,5.6404,2456.5333,695,68,359.346
53,605,5.6969,2395.9667,695,71,359.6158
54,670,5.6967,2487.4333,695,69,359.5223
55,581,5.6364,2552.2333,697,70,358.1758
56,555,5.7654,2297.5333,695,63,359.3464
57,551,5.7899,1974.0333,695,52,359.5242
58,594,5.8355,1975.1,694,58,359.8523
59,538,5.8716,2390.4667,695,64,359.5517
60,606,5.805,2730.7333,694,76,359.9292
61,501,5.7952,3170.3,694,92,359.904
62,571,5.7723,2092.5333,694,60,359.7491
63,614,5.842,2270.2667,694,61,359.7782
64,627,5.9013,2184.3333,695,59,359.5892
