epoch,episode_train,validate_values,evaluate_reward,train_time,test_time,steps_per_second
1,6647,0.2573,1.6333,471,7,529.8495
2,6719,0.3057,0.8667,598,6,417.4061
3,6606,0.3363,1.1333,660,6,378.3533
4,5835,0.3457,2.8333,707,9,353.2439
5,2695,0.5950,2.2667,730,162,342.4592
6,1979,0.7959,13.7000,738,55,338.3872
7,1859,0.8476,18.5333,742,62,336.6916
8,1772,0.9686,22.8667,737,29,339.1117
9,1670,1.0415,24.8667,731,68,341.5970
10,1529,1.1470,27.3667,728,74,343.0784
11,1341,1.2628,29.9667,728,89,343.3935
12,1168,1.3734,42.3333,727,69,343.6497
13,1077,1.3617,45.4667,727,52,343.8351
14,1007,1.4191,46.6667,727,50,343.8743
15,962,1.5764,65.7333,726,53,343.9889
16,943,1.6512,80.6333,727,56,343.8760
17,911,1.6626,60.7000,728,49,343.1805
18,929,1.6379,93.8667,728,63,343.3599
19,901,1.7564,110.6000,728,64,343.1764
20,868,1.7241,186.5333,727,127,343.6754
21,816,1.8231,220.7667,726,118,344.0585
22,797,1.9020,208.5333,725,67,344.6762
23,828,2.0369,181.7000,725,101,344.5338
24,772,1.9582,196.2000,725,74,344.6795
25,723,2.1123,253.6333,725,115,344.6577
26,733,2.1668,157.6667,724,153,345.2877
27,666,2.2084,288.2667,723,108,345.5823
28,643,2.1237,280.5000,724,123,344.9707
29,623,2.1997,232.4667,723,135,345.4791
30,599,2.1933,348.6333,724,160,344.9661
31,591,2.3373,224.5000,725,95,344.3848
32,595,2.2493,247.4000,723,119,345.5235
33,588,2.3988,291.1667,722,156,345.8964
34,521,2.2674,342.9000,721,164,346.2675
35,582,2.3483,319.0667,723,137,345.3729
36,515,2.2029,302.6667,722,155,346.1561
37,553,2.3597,317.4333,723,151,345.6522
38,553,2.4358,368.8000,723,139,345.6006
39,652,2.5293,374.4667,723,158,345.4643
40,667,2.5875,331.9333,723,131,345.4871
41,585,2.5123,374.3000,725,113,344.3643
42,601,2.5209,349.7000,725,89,344.7479
43,581,2.5747,369.9667,723,131,345.4644
44,588,2.6111,336.2333,723,166,345.5216
45,521,2.7101,250.0667,723,108,345.7433
46,581,2.8039,390.2333,722,161,345.8567
47,592,2.9187,306.9667,724,155,345.0239
48,597,2.7884,170.4000,723,63,345.6280
49,617,2.7331,333.4667,724,145,345.2276
50,637,2.8240,345.2000,723,149,345.4321
51,624,2.7907,378.4667,723,109,345.6783
52,551,2.8376,207.8667,723,87,345.5648
53,618,2.8151,291.5000,723,149,345.4824
54,616,2.8331,399.7333,722,162,345.8310
55,616,2.7678,174.1667,722,76,345.8361
56,583,2.8137,364.4000,723,170,345.6940
57,656,2.8510,267.6333,723,103,345.5200
58,555,2.7389,348.2333,723,156,345.6911
59,593,2.7680,139.0000,722,98,346.0342
60,575,2.7867,348.0000,722,166,345.8739
61,537,2.7088,191.0667,723,78,345.7608
62,573,2.8121,343.9667,722,137,345.9088
63,586,2.8832,386.1333,722,170,346.0189
64,597,2.9325,383.5667,723,123,345.7206
65,616,2.8018,368.9000,723,166,345.6884
66,568,2.8400,267.1000,722,103,345.8271
67,630,2.8492,346.9333,723,120,345.4474
68,623,2.8094,224.5333,723,87,345.4791
69,631,2.7125,326.8000,724,143,345.0953
70,663,2.7511,66.2667,723,69,345.4892
71,661,2.7090,309.7333,723,112,345.4486
72,637,2.5922,362.8333,723,105,345.3753
73,636,2.5555,377.1000,722,161,345.8260
74,664,2.6262,309.4667,723,154,345.3551
75,718,2.4977,189.1333,724,89,345.1152
76,657,2.4930,352.7667,723,169,345.4776
77,621,2.5394,169.1000,722,108,345.8870
78,621,2.5219,375.2000,726,153,344.1616
79,636,2.5214,361.8667,724,115,345.1756
80,589,2.5331,256.9333,722,111,346.0363
81,631,2.4387,377.3000,723,108,345.6489
82,610,2.5409,385.4000,722,96,345.9521
83,606,2.5911,397.1333,722,146,345.9755
84,629,2.5672,171.5333,722,123,345.8229
85,626,2.4449,286.9333,722,149,345.8002
86,613,2.5049,399.7333,722,113,345.8864
87,629,2.5196,393.4667,722,93,345.8379
88,601,2.4946,226.2333,722,131,345.8625
89,647,2.3834,340.3000,726,117,344.1889
90,595,2.4054,272.5000,723,100,345.5212
91,626,2.3584,314.4333,723,111,345.5650
92,621,2.3946,389.7667,723,124,345.5491
93,618,2.3419,373.7000,723,136,345.4587
94,621,2.4179,192.7000,723,141,345.3899
95,631,2.5332,294.0333,723,158,345.3149
