epoch,episode_train,validate_values,evaluate_reward,train_time,test_time,steps_per_second
1,1835,0.6507,224,456,31,547.1669
2,1259,0.8268,209.3333,598,35,417.8512
3,1091,0.9399,262,657,32,380.4367
4,1076,1.0847,280,706,34,353.8566
5,1164,1.3724,235.3333,726,40,343.9939
6,1090,1.4928,231.3333,726,39,344.2754
7,937,1.5487,510.6667,733,55,340.8009
8,911,1.6003,421.3333,734,46,340.456
9,722,1.7302,454,733,50,340.7318
10,914,1.8289,437.3333,726,46,344.0931
11,884,1.9573,256.6667,729,29,342.5139
12,853,2.0313,552.6667,727,45,343.5648
13,785,2.0857,985.3333,727,52,343.5118
14,700,2.1775,1360,727,71,343.6671
15,593,2.2921,1466,728,68,343.2381
16,611,2.4323,1464,728,72,343.0917
17,594,2.5465,2016,727,85,343.6032
18,541,2.7018,1333.3333,727,61,343.4781
19,526,2.807,2035.3333,727,78,343.7527
20,508,2.9124,2064,727,77,343.4744
21,505,3.0679,2051.3333,726,76,344.0135
22,480,3.1847,1867.3333,726,71,343.9318
23,492,3.335,2089.3333,726,78,343.8988
24,498,3.4067,2428,726,84,344.0019
25,476,3.5271,2106,725,79,344.4031
26,474,3.612,2351.3333,728,86,343.3085
27,476,3.738,2144,726,72,344.206
28,506,3.7556,1576,727,64,343.8167
29,539,3.9261,2254.6667,727,80,343.6885
30,539,4.0535,1742.6667,727,64,343.6467
31,536,4.1145,2054,726,70,344.0107
32,485,4.2204,2834,726,92,343.9752
33,480,4.3363,2980.6667,726,85,344.0427
34,510,4.4721,2537.3333,727,85,343.5534
35,486,4.6132,2359.3333,726,76,343.9574
36,472,4.684,3049.3333,726,87,344.0569
37,448,4.7599,2783.3333,727,88,343.7475
38,454,4.7893,3150.6667,727,89,343.5804
39,478,4.8509,2954.6667,728,87,343.3969
40,486,4.9543,2523.3333,727,76,343.816
41,470,4.9829,3656.6667,726,94,344.2902
42,434,5.1912,3407,726,89,344.0686
43,435,5.1461,3553.3333,727,93,343.7658
44,478,5.3769,2585,727,80,343.7956
45,474,5.4412,2500,728,76,343.3649
46,457,5.4537,3010.3333,727,81,343.5684
47,439,5.6043,2399.3333,728,79,343.3302
48,474,5.6186,4367.3333,727,103,343.4169
49,457,5.6829,3431.6667,726,89,344.2499
50,474,5.5786,3653.6667,726,92,343.949
51,452,5.6752,3145,726,88,344.0106
52,427,5.6265,4634.6667,727,102,343.5537
53,486,5.7109,3545.3333,730,84,342.1284
54,471,5.7076,3463,734,83,340.3456
55,442,5.7726,4820,736,92,339.306
56,402,5.7026,3212,727,87,343.4824
57,429,5.732,3524,727,85,343.6609
58,438,5.7233,5440,728,103,343.3484
59,443,5.7373,6091,727,95,343.5889
60,408,5.6508,5615.3333,727,110,343.5512
61,398,5.7207,5640.3333,727,103,343.701
62,423,5.6883,4154.3333,727,80,343.6595
63,430,5.8429,5764.6667,727,109,343.7938
64,413,5.7965,4631,727,88,343.5608
65,406,5.8748,3599.3333,727,73,343.7991
66,431,5.7988,5511.3333,727,96,343.5967
67,389,5.8472,5173,731,96,341.7436
68,424,5.8753,6775,745,109,335.4177
69,410,5.8512,7379.3333,727,102,343.4263
70,419,5.8437,6949,728,104,343.2824
71,427,5.8279,6523.6667,727,97,343.601
72,415,5.8468,4293.6667,727,90,343.4756
73,413,5.9897,5676.3333,727,94,343.6722
74,390,6.0436,5480,727,101,343.4965
75,379,6.1142,5202.3333,734,104,340.3208
76,396,6.1769,7028,735,105,340.0562
77,404,6.2765,4585.6667,735,88,340.0635
78,395,6.2735,6326.3333,731,98,341.803
79,383,6.2624,5598.6667,727,94,343.8181
80,375,6.389,6811,728,113,343.1964
81,369,6.3438,8505,728,123,343.3136
82,363,6.4463,9701.3333,727,119,343.4487
83,393,6.3437,6298.6667,729,98,342.7318
84,374,6.4647,6284,727,103,343.7031
85,398,6.6027,3769.3333,755,85,330.8657
86,376,6.4893,7943.6667,728,119,343.0782
87,349,6.4205,8274,728,116,343.1362
88,345,6.3495,9704.6667,729,117,342.8677
89,370,6.4377,5016.6667,727,98,343.7185
90,373,6.4913,7105,728,104,343.328
91,369,6.5009,7436.6667,727,110,343.4737
92,359,6.5182,5591.6667,728,91,343.2338
93,372,6.615,6061.6667,730,99,342.129
94,372,6.6042,9319.6667,730,117,342.383
95,367,6.6484,8792,728,118,343.0558
96,384,6.6174,7473.3333,728,117,343.1576
97,381,6.5627,6260.3333,728,89,343.3958
98,392,6.5821,7929.6667,729,106,342.8358
99,376,6.4127,8936.6667,730,123,342.4005
100,372,6.4632,7212,729,102,342.8517
101,403,6.4743,6797.6667,782,98,319.6724
102,404,6.5735,6299,756,106,330.5054
103,391,6.5367,8367,753,112,331.6239
104,363,6.5869,5774.3333,756,96,330.4391
105,358,6.6894,7767,763,107,327.32
106,378,6.5367,5663.6667,763,90,327.4167
107,362,6.6531,7964.3333,759,104,329.3204
108,383,6.7188,5793,755,97,330.8549
109,377,6.7627,10919.6667,755,123,331.1098
110,341,6.7059,4470,755,76,330.8293
111,362,6.7465,6895.3333,754,108,331.2075
112,374,6.7372,9357.3333,755,119,331.0755
113,346,6.7244,7403,755,114,331.109
114,366,6.7149,7340,753,103,331.5874
115,360,6.6986,7926.6667,753,108,331.6894
116,378,6.7598,8846.3333,754,119,331.4471
117,350,6.7364,7934.3333,755,111,330.9047
118,369,6.7269,6278,754,99,331.3833
119,363,6.6944,8100.6667,753,100,331.9747
120,357,6.6798,8029.3333,753,106,331.6249
121,380,6.6668,9487,757,120,329.9146
122,349,6.7618,9229.6667,754,125,331.3548
123,346,6.695,8519,755,129,331.1222
124,333,6.6318,10396.3333,756,117,330.6667
125,347,6.6454,10088.3333,752,121,332.1951
126,369,6.8207,5640.6667,754,99,331.2933
127,341,6.753,8519.3333,754,102,331.5073
128,360,6.9111,6534.3333,754,104,331.4656
129,381,6.9221,7069.6667,754,92,331.462
130,383,6.9728,8972,753,107,331.6627
131,373,6.778,7748.3333,753,105,331.8452
132,341,6.8428,9041.3333,754,123,331.4063
133,345,6.9027,11116.6667,754,132,331.4184
134,368,6.8377,6967,754,103,331.3533
135,374,6.7211,9600.3333,753,126,331.6682
136,351,6.7388,11198.6667,754,124,331.4959
137,351,6.7966,7904.3333,753,108,331.6345
138,361,6.6955,8724.3333,753,112,331.7061
139,330,6.7617,10580.3333,753,126,331.575
140,333,6.7078,9195,754,118,331.517
141,331,6.7559,8639,753,123,331.8079
142,358,6.575,10621,754,114,331.5046
143,341,6.6444,6062.3333,754,93,331.4949
144,335,6.5476,10373.6667,754,113,331.4368
145,375,6.496,9207,753,114,331.6907
146,363,6.3742,7698.6667,754,103,331.5623
147,325,6.3626,9293.6667,753,124,331.6158
148,329,6.4567,8370,754,98,331.505
149,351,6.7655,6472,754,99,331.47
150,347,6.5047,6546,753,111,331.66
151,357,6.4984,12235.3333,754,116,331.5262
152,332,6.5359,11314.6667,754,111,331.4423
153,329,6.7855,8802.6667,754,101,331.4812
154,361,6.8233,6633.6667,754,102,331.3641
155,347,7.0008,7183.3333,754,100,331.5144
156,377,7.0096,11873.3333,753,115,331.7538
157,389,6.8845,13186,754,135,331.1811
158,357,7.0361,4184.6667,755,80,330.9887
159,376,7.0016,9436.3333,754,111,331.4544
160,366,6.8045,8468,753,104,331.7333
161,377,6.735,2106.3333,732,65,341.2881
162,353,6.6661,8979.3333,730,99,342.0553
163,349,6.7556,11280,729,123,342.8832
164,351,6.6759,7054.3333,728,105,342.9676
165,397,6.6407,6776,731,104,341.7217
166,381,7.0205,8571.3333,729,109,342.604
167,401,6.9812,6350,729,88,342.8256
168,369,6.8754,8398,728,95,342.9579
169,349,6.8629,11134,728,126,342.9827
170,366,6.9327,7079.6667,728,95,342.9377
171,360,6.9646,9930.6667,729,117,342.84
172,357,7.1459,8830.6667,728,105,343.0134
173,338,7.1121,10314.6667,729,116,342.9049
174,353,7.0564,7050.3333,728,99,343.0873
175,349,6.9175,10954.6667,728,109,343.0312
176,369,6.952,9412.6667,728,111,342.9812
177,361,6.8577,8313.3333,728,106,343.238
178,368,6.8483,10370.3333,728,128,343.1713
179,357,7.046,5173.6667,729,95,342.7563
180,355,7.1476,8591.3333,729,107,342.7341
181,368,6.8786,7143.6667,730,101,342.164
182,369,6.6221,9002.6667,729,107,342.8152
183,381,6.8555,9018.3333,728,103,343.2283
184,392,7.0511,7140.3333,728,86,343.0417
185,406,6.8253,6190.6667,729,92,342.8315
186,362,7.045,8247.6667,728,106,342.9887
187,380,6.7628,7871.6667,728,100,343.3846
188,375,6.8927,8437.3333,728,106,343.0829
189,366,6.8626,10581,728,108,343.2672
190,355,7.0025,6055,729,102,342.7455
191,396,6.8068,5753.3333,727,87,343.4116
192,342,6.9855,12671.3333,728,127,342.9869
193,358,6.7677,8912,727,112,343.5738
194,359,7.0463,8527.3333,728,104,343.388
195,366,7.0636,8227,730,107,342.1677
196,376,6.7969,7477.3333,727,93,343.5781
197,382,6.9087,8233.3333,728,107,343.3352
198,339,6.9136,10153,728,116,343.281
199,361,6.9294,8511,727,115,343.6709
200,354,7.067,11522.3333,727,124,343.5254
