epoch,episode_train,validate_values,evaluate_reward,train_time,test_time,steps_per_second
1,1764,1.6052,379.4000,431,22,579.9824
2,1776,1.9659,259.7000,560,52,445.8996
3,1574,2.2604,609.6333,615,34,406.2769
4,1333,2.8221,537.2333,660,26,378.6508
5,1152,2.8443,590.8667,679,71,367.9345
6,1074,3.3149,799.0667,679,31,368.1253
7,1017,3.6921,1108.5000,680,55,367.6236
8,825,4.2081,1812.8000,680,83,367.5783
9,670,4.4101,1663.5667,682,63,366.4628
10,818,4.9206,1396.2667,679,59,368.1579
11,881,5.1295,1610.1000,679,74,367.8301
12,873,5.2846,1283.3000,678,39,368.5521
13,860,5.5462,1316.4333,680,43,367.6314
14,894,5.8901,1431.5000,678,46,368.6282
15,866,6.0512,1587.3000,678,58,368.5605
16,834,6.3215,2067.5000,677,88,368.7922
17,883,6.3712,1535.2000,678,47,368.2395
18,895,6.4661,1314.9000,676,40,369.3865
19,867,6.6192,2429.6000,677,80,369.2600
20,820,6.6468,1587.9333,676,47,369.5505
21,856,6.5479,1826.5333,676,60,369.5912
22,916,6.7242,2172.6333,676,73,369.3373
23,947,6.8708,1251.2333,676,38,369.5888
24,911,6.9799,1537.2000,677,48,368.8447
25,939,6.8958,1068.8333,676,36,369.5467
26,940,6.8893,1283.7000,676,38,369.3262
27,912,6.9265,1061.7333,677,34,369.2100
28,936,6.8709,947.4333,677,31,369.2657
29,863,6.9201,1997.6667,677,68,369.2037
30,893,6.8896,2810.6667,676,95,369.2887
31,920,6.8193,2644.1667,676,125,369.4323
32,916,6.9541,1067.1333,676,33,369.4746
33,927,6.8658,1399.7333,677,44,368.7526
34,842,6.9474,2918.4667,677,103,369.0589
35,895,6.9044,1404.6333,677,42,369.1875
36,878,6.9799,1515.6333,677,50,369.0035
37,920,6.9924,1494.0333,676,46,369.4379
38,849,6.8533,965.9000,677,32,369.2741
39,932,6.8373,1129.5667,677,37,369.2292
40,894,6.8440,1393.4000,677,43,369.1317
41,967,6.9195,1200.0333,676,38,369.5795
42,895,6.8711,1660.0667,677,58,369.0843
43,940,6.8948,1385.4667,678,43,368.2671
44,909,6.8428,1069.6667,678,36,368.2501
45,851,6.8295,1402.2000,677,50,368.8491
46,902,6.9166,1809.2000,677,58,368.8108
47,898,6.8425,1381.3333,677,40,368.8312
48,925,6.8177,1412.3667,677,44,369.1228
49,917,6.7691,1039.8667,677,38,368.7651
50,917,6.7844,1284.5000,679,39,367.7844
51,937,6.7890,1865.8000,678,54,368.3544
52,878,6.8019,1171.0333,680,37,367.3857
53,897,6.6588,1528.3333,679,47,368.1363
54,893,6.6677,1674.4333,678,48,368.3917
55,951,6.8129,1288.2667,678,38,368.2395
56,933,6.7291,1215.4667,678,37,368.6011
57,923,6.7430,2291.0333,679,73,368.0895
58,900,6.8554,1505.1333,679,45,368.0930
