epoch,episode_train,validate_values,evaluate_reward,train_time,test_time,steps_per_second
1,1720,1.8436,135.3333,451,23,553.1484
2,1244,3.2435,194.6667,584,31,427.4003
3,1210,4.3691,310.0000,640,36,390.3062
4,1089,5.7868,501.3333,685,64,364.4787
5,1002,7.2786,102.6667,706,25,354.0059
6,947,7.7472,536.0000,706,68,353.8469
7,884,8.4531,522.6667,706,61,353.7922
8,814,8.6648,216.6667,706,38,353.6566
9,845,9.0112,166.6667,708,29,352.9140
10,918,9.0250,140.0000,706,31,353.7839
11,987,8.5766,175.3333,704,31,355.0342
12,825,8.7083,556.0000,704,64,354.6883
13,732,8.6732,646.0000,705,67,354.5638
14,937,8.4902,304.0000,704,45,354.9382
15,881,8.1124,183.3333,704,25,354.9525
16,786,8.0356,222.0000,705,37,354.5508
17,802,7.8658,434.6667,705,53,354.5984
18,716,7.6697,594.0000,704,64,354.8111
19,730,7.6297,356.0000,705,39,354.6008
20,665,7.5445,699.3333,705,59,354.3640
21,678,7.5264,510.6667,705,51,354.3772
22,631,7.4223,1056.6667,705,70,354.3681
23,621,7.5190,1437.3333,705,76,354.1987
24,585,7.8558,1410.0000,705,78,354.3203
25,617,8.1051,410.6667,705,38,354.3566
26,552,8.0652,2461.0000,705,83,354.1538
27,549,7.9561,1885.3333,705,82,354.5452
28,527,8.0276,1818.6667,705,80,354.2329
29,529,8.4299,2154.6667,706,85,354.0391
30,504,8.7339,379.3333,707,48,353.1351
31,542,8.9231,2437.3333,712,89,350.9237
32,524,8.9370,2501.3333,712,90,350.8235
33,522,9.2080,814.6667,712,63,350.9895
34,510,9.3965,810.0000,712,51,350.8498
35,492,9.4866,2588.6667,712,89,350.8214
36,514,9.4258,2730.6667,712,91,350.7678
37,465,9.4219,2110.6667,716,86,349.0019
38,477,9.4584,2514.3333,713,88,350.6124
39,455,9.4898,993.3333,714,52,349.8398
40,465,9.7798,2569.3333,717,90,348.6311
41,455,9.7002,1340.6667,708,70,352.8451
42,489,10.1363,1848.6667,707,73,353.2853
43,493,10.2004,2559.6667,717,85,348.3065
44,555,9.9593,2017.6667,725,71,344.4548
45,505,10.0028,2536.3333,710,91,351.9744
46,490,10.1696,3415.6667,708,99,353.0611
47,499,10.3348,3041.6667,707,93,353.2141
48,489,10.1263,1322.3333,707,58,353.1242
49,551,10.3028,3731.6667,707,98,353.3795
50,492,10.5070,1899.3333,707,78,353.1988
51,547,10.6706,1154.0000,707,60,353.2073
52,525,10.4123,2392.6667,708,81,352.9982
53,487,10.3828,2870.3333,708,80,352.8502
54,526,10.6803,1990.3333,707,78,353.2377
55,534,10.7265,3640.3333,707,90,353.2494
56,633,10.6681,322.0000,726,34,344.0906
57,530,10.5232,1312.0000,724,79,344.8322
58,485,10.5909,2319.6667,709,87,352.5722
59,522,10.5435,2869.6667,709,88,352.3936
60,502,10.8045,965.3333,711,51,351.4851
61,527,10.9802,682.0000,709,47,352.5102
62,546,10.9132,1166.0000,708,66,352.8835
63,544,10.6671,3257.3333,707,97,353.1924
64,538,10.4927,2582.6667,707,88,353.4419
65,543,10.4018,1540.0000,707,76,353.4248
66,547,10.4807,2752.6667,707,91,353.4591
67,556,10.1452,857.3333,706,52,353.6169
68,526,10.2651,923.3333,707,50,353.1664
69,517,9.9822,3140.3333,707,88,353.1348
70,590,9.9469,1021.3333,707,50,353.3099
71,531,9.8190,2578.6667,707,86,353.1492
72,515,9.8406,2579.3333,710,91,351.6737
73,528,9.8123,2128.0000,707,84,353.4693
74,505,10.1189,2260.6667,707,66,353.3702
75,513,10.1060,2556.0000,707,85,353.3880
76,547,10.2795,3807.3333,707,94,353.2481
77,489,10.1632,3354.6667,707,91,353.3672
78,505,10.2539,1287.3333,707,56,353.4895
79,529,10.2054,3175.3333,707,93,353.1579
80,514,10.2074,4763.3333,707,96,353.1615
81,465,10.3795,2296.6667,708,79,352.6118
82,557,10.5856,1615.3333,708,71,352.9762
83,654,10.8398,2099.0000,710,66,351.8753
84,577,10.6826,1459.3333,709,75,352.4226
85,483,10.7455,1689.0000,707,68,353.2596
86,445,10.8544,2143.3333,708,79,352.9915
87,445,10.7570,5343.0000,707,100,353.3789
88,503,10.8396,724.0000,706,43,353.8764
89,465,10.7013,907.3333,708,57,353.0727
90,462,10.8097,3312.6667,707,96,353.2773
91,501,10.9650,2288.0000,706,72,353.6941
92,509,10.8027,4566.6667,707,101,353.1451
93,502,10.6568,2148.0000,706,79,353.9695
94,516,10.5852,1052.0000,706,47,353.6522
95,557,10.5844,1560.3333,705,67,354.1217
96,392,10.5089,2130.0000,705,75,354.2002
97,503,10.3067,1406.0000,708,59,353.0697
98,510,10.4470,868.0000,707,47,353.1807
99,503,10.4768,2804.6667,710,88,352.0260
100,506,10.5602,1397.6667,718,59,347.8786
101,483,10.5858,814.6667,656,74,380.7518
102,502,10.7882,605.3333,655,53,381.6346
103,518,10.6115,5106.6667,656,100,380.6978
104,513,10.6026,3833.0000,655,92,381.6233
105,495,10.5979,1169.3333,655,59,381.1141
106,549,10.5546,3752.0000,654,84,381.9238
107,578,10.5565,3907.6667,655,82,381.3779
108,488,10.6038,1699.3333,658,73,379.6417
109,536,10.5193,2410.0000,655,86,381.4094
110,574,10.3571,1235.3333,654,48,382.2318
111,538,10.3134,4871.6667,654,104,381.8001
112,534,10.5316,3971.6667,655,89,381.6592
113,466,10.2956,620.6667,656,42,381.0113
114,472,10.2823,3916.0000,655,85,381.5902
115,456,10.4610,3996.6667,654,108,381.7314
116,502,10.5082,3593.0000,655,105,381.3469
117,523,10.6188,2763.6667,656,77,380.7811
118,568,10.5706,2472.0000,655,76,381.5468
119,593,10.5988,2878.0000,655,74,381.4811
120,492,10.3982,4514.0000,656,86,380.8585
121,517,10.5265,3196.0000,655,82,381.1963
122,537,10.8077,913.3333,654,52,381.7435
123,531,10.9018,5428.6667,655,107,381.2132
124,495,10.7903,2456.6667,654,82,381.7867
125,494,10.5588,3028.6667,655,92,381.4971
126,492,10.6106,4164.3333,655,96,381.6043
127,518,10.6795,402.6667,655,32,381.5239
128,605,10.5567,3694.6667,654,85,381.9760
129,541,10.6143,2350.6667,655,96,381.6474
130,497,10.6878,1010.0000,656,78,380.7981
131,484,10.5768,2960.6667,655,91,381.1345
132,460,10.3766,3951.0000,657,80,380.4746
133,505,10.6009,3947.0000,656,93,380.9984
134,538,10.7689,3382.0000,655,91,381.3668
135,508,10.6203,2040.6667,655,61,381.5153
136,469,10.7345,2549.3333,655,72,381.3708
137,473,10.8598,2047.3333,655,86,381.2006
138,487,10.6275,3839.3333,656,90,380.9169
139,510,10.6222,5480.3333,656,109,380.8977
140,493,10.9638,2624.3333,656,73,380.7699
141,599,10.9429,1748.0000,654,67,382.0844
142,545,10.9793,3558.0000,655,82,381.5290
143,522,10.7550,2285.0000,655,66,381.4916
144,499,10.7349,3813.0000,655,86,381.3651
145,517,10.7626,2060.6667,654,60,382.1563
146,573,10.8129,1040.0000,654,49,382.0103
147,584,10.7540,3977.0000,655,94,381.5378
148,473,10.9031,762.6667,655,44,381.4549
149,536,10.9446,3219.6667,656,86,381.0655
150,514,11.1106,4737.6667,655,89,381.4879
151,541,11.0013,2871.0000,655,68,381.6502
152,550,11.0125,3240.0000,655,75,381.5250
153,523,11.1479,2123.6667,655,78,381.6572
